iter	RMSE
139	0.3087641938
140	0.3084608619
141	0.3081127948
142	0.307632783
143	0.3071915965
144	0.3068404256
145	0.3065840871
146	0.3061641817
147	0.3058108292
148	0.3054684988
149	0.3050027641
150	0.304640243
151	0.3042412953
152	0.3038221686
153	0.3034548539
154	0.3031231414
155	0.3026511282
156	0.302287533
157	0.3020169134
158	0.3016976598
159	0.3013513467
160	0.3011285096
161	0.3007607719
162	0.3004858722
163	0.3002302551
164	0.2999112654
165	0.2996032111
166	0.2992117681
167	0.29893351
168	0.2985761221
169	0.2981769105
170	0.2977781007
171	0.2974890129
172	0.297062064
173	0.2967434213
174	0.2964514217
175	0.296146292
176	0.2956535182
177	0.2954148022
178	0.2951284526
179	0.2947988691
180	0.2944701015
181	0.2941819637
182	0.293904714
183	0.2936741147
184	0.2933685486
185	0.2930913084
186	0.2927296283
187	0.292415681
188	0.2921270884
189	0.2917800206
190	0.2914498044
191	0.2910794312
192	0.2908323217
193	0.2905466499
194	0.290374926
195	0.2900334394
196	0.2897094713
197	0.2894466066
198	0.2891260057
199	0.2886992221
200	0.2883166119
201	0.2880180557
202	0.2877434357
203	0.2874480927
204	0.2871134749
205	0.2868612827
206	0.2864293804
207	0.286158726
208	0.2859724028
209	0.2857020949
210	0.2854060087
211	0.2851704966
212	0.2849002271
213	0.2847160779
214	0.2843452465
215	0.2840782238
216	0.2838233311
217	0.2835592179
218	0.2834054592
219	0.283165086
220	0.2826521906
221	0.2824324996
222	0.282303941
223	0.2820214412
224	0.2817621092
225	0.2815383208
226	0.2813656844
227	0.2810792909
228	0.280723819
229	0.2804466425
230	0.2802304131
231	0.2801194046
232	0.2798698179
233	0.2796239494
234	0.279407199
235	0.2791777405
236	0.2789640999
237	0.2787467388
238	0.2785162421
239	0.2781971133
240	0.2778662554
241	0.2775675344
242	0.2773566139
243	0.2771094289
244	0.2768229373
245	0.2766268911
246	0.2764727112
247	0.2762454247
248	0.2760172056
249	0.2759172634
250	0.2756945941
251	0.2754770182
252	0.2752562836
253	0.2750345407
254	0.2749401209
255	0.2747340001
256	0.2745317563
257	0.2744334126
258	0.2742629672
259	0.2739716765
260	0.2737412346
261	0.2735350455
262	0.2733721325
263	0.2731026831
264	0.2729191821
265	0.2726962516
266	0.272619901
267	0.2722820992
268	0.2721189945
269	0.2718364576
270	0.2716705966
271	0.2715811681
272	0.2713959217
273	0.271240211
274	0.2710626854
275	0.270874223
276	0.2705809044
277	0.2702597029
278	0.2700572085
279	0.2698155396
280	0.2697267036
281	0.2695316394
282	0.2694659844
283	0.2692164892
284	0.2690661866
285	0.2689036221
286	0.2686506556
287	0.2684920808
288	0.2683149576
289	0.2681227065
290	0.267971846
291	0.267732563
292	0.2675657963
293	0.2674781649
294	0.2672401111
295	0.2670337315
296	0.2669425235
297	0.2666965738
298	0.2666028477
299	0.2664191113
300	0.2662453359
301	0.2661336362
302	0.2660235871
303	0.2657555132
304	0.2656159276
305	0.2654323356
306	0.2652695481
307	0.265128518
308	0.264959377
309	0.2647593273
310	0.2645306973
311	0.264412829
312	0.2642777984
313	0.2641203716
314	0.263996856
315	0.2637075535
316	0.2634871212
317	0.2633186873
318	0.2632558843
319	0.263119947
320	0.2629358782
321	0.2628193148
322	0.2626739734
323	0.2624851837
324	0.2623099078
325	0.2621625955
326	0.2618711918
327	0.2617333972
328	0.2615715409
329	0.2614033008
330	0.2612427998
331	0.2609916686
332	0.2608362056
333	0.2607080983
334	0.2605375864
335	0.260386592
336	0.2603214317
337	0.2601216853
338	0.2599802645
339	0.2598352504
340	0.2596868675
341	0.2594932238
342	0.2592483664
343	0.2591217348
344	0.2589910537
345	0.2587814346
346	0.2586094999
347	0.2584998687
348	0.2583640199
349	0.2580612876
350	0.2578254859
351	0.2576956422
352	0.2575948727
353	0.2573758835
354	0.2572314887
355	0.2570858969
356	0.2569032925
357	0.2567724481
358	0.256616351
359	0.2565528684
360	0.2563846775
361	0.256164905
362	0.2560081236
363	0.2558693625
364	0.2557022667
365	0.2555801308
366	0.2553282297
367	0.2552038931
368	0.2550848574
369	0.254988429
370	0.2548162288
371	0.2546512362
372	0.2545346151
373	0.2543355543
374	0.2542073554
375	0.2540556391
376	0.2539211981
377	0.2538006672
378	0.2537428067
379	0.2535746534
380	0.253436997
381	0.253219007
382	0.2530154628
383	0.2528973837
384	0.2528076476
385	0.2527220822
386	0.2526020478
387	0.2525039274
388	0.25230507
389	0.25216296
390	0.2520426839
391	0.2519171092
392	0.2518262687
393	0.2516703093
394	0.2515205092
395	0.2513213459
396	0.2511574366
397	0.2510392989
398	0.2509155418
399	0.250717639
400	0.2505894753
401	0.2504573015
402	0.250370916
403	0.2502595671
404	0.2500541516
405	0.2499107163
406	0.2498764144
407	0.2496627868
408	0.2494803167
409	0.2493371551
410	0.2492207649
411	0.2490985915
412	0.2490051684
413	0.2488525629
414	0.248738095
415	0.2486370625
416	0.2485163683
417	0.2483792959
418	0.2482764376
419	0.2481783856
420	0.2480190723
421	0.2478266997
422	0.2476837094
423	0.2475453859
424	0.2474009078
425	0.2472710123
426	0.2471633781
427	0.2470561286
428	0.2469800898
429	0.2468753023
430	0.2467242011
431	0.2466552256
432	0.2465426596
433	0.2464375149
434	0.2463347439
435	0.2461526627
436	0.2460442658
437	0.2459432807
438	0.2458470133
439	0.2456210058
440	0.2454860142
441	0.245319753
442	0.2451934343
443	0.2451498088
444	0.24504895
445	0.2448554565
446	0.2447926388
447	0.2446962834
448	0.2445877495
449	0.2445108091
450	0.2444588832
451	0.244399219
452	0.2442901208
453	0.244178913
454	0.2440417301
455	0.243936303
456	0.2438282542
457	0.2437181558
458	0.2436399136
459	0.2435465703
460	0.2434331454
461	0.2432940617
462	0.2432565764
463	0.243149114
464	0.2430514004
465	0.2429406929
466	0.2428874413
467	0.2428502838
468	0.2426991993
469	0.2426605006
470	0.2426276418
471	0.2426008884
472	0.2424785207
473	0.2424494498
474	0.2423377802
475	0.2422117126
476	0.2421896714
477	0.242048104
478	0.2420281858
479	0.2419038707
480	0.2418132008
481	0.2417054741
482	0.2416073594
483	0.241518862
484	0.2414336376
485	0.2413054454
486	0.2411328111
487	0.2410353408
488	0.2410084343
489	0.2409821451
490	0.2408025476
491	0.2406772803
492	0.240601212
493	0.2404214178
494	0.2402557957
495	0.2401573416
496	0.2400716975
497	0.2400518776
498	0.2399626242
499	0.2398308127
500	0.2397290095
501	0.2396538406
502	0.2396328802
503	0.239520104
504	0.2393676275
505	0.2392747407
506	0.2391768355
507	0.239098837
508	0.2389987628
509	0.2389196809
510	0.2388545894
511	0.2387579424
512	0.2386375156
513	0.238495965
514	0.2383418918
515	0.2382395418
516	0.2381777591
517	0.2380841521
518	0.2379636963
519	0.2378794445
520	0.2376892611
521	0.2375957071
522	0.2375198921
523	0.2374408124
524	0.2373500155
525	0.2373330664
526	0.2372050143
527	0.237184215
528	0.2370378593
529	0.2369211974
530	0.236904925
531	0.2368235226
532	0.2367047363
533	0.2366127257
534	0.2364828551
535	0.236424648
536	0.2363138276
537	0.236218228
538	0.2360735966
539	0.2359579281
540	0.2358320673
541	0.2357266766
542	0.2356308229
543	0.2355176095
544	0.2353673456
545	0.2352910495
546	0.2351931103
547	0.2350466518
548	0.234957018
549	0.2348186859
550	0.2347015445
551	0.2345515128
552	0.2344341102
553	0.2343514332
554	0.2342836616
555	0.2341938846
556	0.2341031323
557	0.2340883406
558	0.2339957727
559	0.2338895783
560	0.2337668083
561	0.2335959243
562	0.2334600331
563	0.2334010337
564	0.2333449281
565	0.2332114519
566	0.2331030795
567	0.23304227
568	0.2329700339
569	0.2328300754
570	0.2327310762
571	0.2326407013
572	0.2325250014
573	0.2324314274
574	0.2323646441
575	0.2322743679
576	0.2321813989
577	0.232091074
578	0.2320209294
579	0.2319350992
580	0.2318417303
581	0.2317668581
582	0.231737106
583	0.2317229182
584	0.2316079159
585	0.2314684099
586	0.2313929832
587	0.2313293135
588	0.2312462034
589	0.2311831811
590	0.2311385169
591	0.2310550149
592	0.2309766296
593	0.2308781017
594	0.2308163382
595	0.2306906818
596	0.2305921942
597	0.230531679
598	0.2304358398
599	0.2303642063
600	0.2302870578
601	0.2302079155
602	0.2301421395
603	0.230068061
604	0.2300545749
605	0.2300338243
606	0.2299563577
607	0.2298754085
608	0.2297652321
609	0.2297523193
610	0.2296719281
611	0.2295442042
612	0.2294961608
613	0.2293766326
614	0.2292857066
615	0.2291942465
616	0.2291185173
617	0.2290226756
618	0.2289336724
619	0.2288526552
620	0.2287616039
621	0.2286619663
622	0.2286428478
623	0.2285791101
624	0.228441896
625	0.2283842326
626	0.2283719052
627	0.2282833132
628	0.2281843367
629	0.2281286642
630	0.2280484205
631	0.2279401631
632	0.227854376
633	0.2277379457
634	0.2276468457
635	0.2275573198
636	0.2274837103
637	0.2274357539
638	0.2273884655
639	0.2272833799
640	0.2272037029
641	0.2271396561
642	0.2270670943
643	0.2270046266
644	0.2269096175
645	0.2268661012
646	0.2267842386
647	0.226717295
648	0.2266580254
649	0.2265863906
650	0.2265588177
651	0.2264416939
652	0.2263622954
653	0.2262734214
654	0.2261447605
655	0.2260355761
656	0.2259629975
657	0.2258668078
658	0.2257664211
659	0.2257370034
660	0.2256457465
661	0.225582004
662	0.2254713109
663	0.2253978301
664	0.2253216378
665	0.2252477069
666	0.2251394816
667	0.2250405863
668	0.2249689229
669	0.2248918035
670	0.2247972116
671	0.224695517
672	0.2246236137
673	0.2245840927
674	0.2244605623
675	0.2243893691
676	0.2243183416
677	0.224268662
678	0.2241606725
679	0.2240420032
680	0.2239307137
681	0.2238824032
682	0.2238148955
683	0.2237448487
684	0.2236992269
685	0.2236170702
686	0.223491901
687	0.2234273752
688	0.2233529351
689	0.2232656087
690	0.2231917816
691	0.2230807791
692	0.2230134403
693	0.2229019786
694	0.2228333284
695	0.2227399253
696	0.2226594598
697	0.2225934156
698	0.2225062619
699	0.2224084516
700	0.2223347256
701	0.2222679568
702	0.2221933224
703	0.2221090551
704	0.2220410035
705	0.2219737497
706	0.2218983409
707	0.2217924619
708	0.2217375847
709	0.2216542731
710	0.221537358
711	0.2214469949
712	0.2213920859
713	0.2213288712
714	0.2212572584
715	0.2211754231
716	0.2211120742
717	0.2210424264
718	0.2209350723
719	0.220834556
720	0.2207696932
721	0.2207081831
722	0.2206231387
723	0.2205112153
724	0.2204496716
725	0.2203723861
726	0.2202751188
727	0.2202090662
728	0.2201108277
729	0.2200389518
730	0.2199759668
731	0.2199352467
732	0.2198658641
733	0.2197637308
734	0.2196938863
735	0.2195910125
736	0.2195009104
737	0.2194549303
738	0.2194140827
739	0.2193385675
740	0.2192461505
741	0.219201027
742	0.2191275568
743	0.2190881819
744	0.2190196242
745	0.2189602847
746	0.2189216153
747	0.2188297328
748	0.2187704664
749	0.2186878857
750	0.2186084143
751	0.2185153839
752	0.2184521671
753	0.2184357913
754	0.2183686633
755	0.2183315793
756	0.2182643656
757	0.2182018644
758	0.2181468794
759	0.2179984093
760	0.217887461
761	0.2178331925
762	0.2177807749
763	0.217709107
764	0.2176359255
765	0.2175417564
766	0.2174778441
767	0.2174003109
768	0.2173302689
769	0.2172558204
770	0.2171810534
771	0.2171430362
772	0.2170755218
773	0.2169919599
774	0.2169350329
775	0.2168636745
776	0.2167853777
777	0.2166953658
778	0.2166381274
779	0.2165817106
780	0.2164967116
781	0.2164429349
782	0.2163623658
783	0.2163136607
784	0.2162327473
785	0.2161786824
786	0.21605635
787	0.2159765113
788	0.2159161248
789	0.2158500294
790	0.215796931
791	0.2157410843
792	0.2156903048
793	0.215637242
794	0.2156098236
795	0.2155580883
796	0.2154953162
797	0.2154806337
798	0.2154338167
799	0.2153623968
800	0.2152779469
801	0.2151973079
802	0.215131626
803	0.2150767036
804	0.214965188
805	0.2148914698
806	0.2148191246
807	0.2147753798
808	0.2147224732
809	0.2146776055
810	0.2146391988
811	0.2145795007
812	0.2144925797
813	0.2144280083
814	0.214386649
815	0.2143375396
816	0.2142767581
817	0.2141755073
818	0.2140946662
819	0.2140119447
820	0.2139456564
821	0.213886456
822	0.2138054071
823	0.2137822162
824	0.2137683154
825	0.2137093944
826	0.2136568983
827	0.2136103839
828	0.2135274673
829	0.2134768645
830	0.2133737345
831	0.2133208432
832	0.2132400951
833	0.213139701
834	0.213082087
835	0.2129902557
836	0.2129337221
837	0.212870641
838	0.2128031772
839	0.2127481861
840	0.2126861841
841	0.2126100019
842	0.2125727371
843	0.2124775601
844	0.2124320088
845	0.212383339
846	0.212370676
847	0.2122698833
848	0.2122325023
849	0.2121294346
850	0.212088539
851	0.2120129517
852	0.2119557665
853	0.2118332647
854	0.2117504567
855	0.2117160424
856	0.2116529508
857	0.211596485
858	0.2115264442
859	0.2114583285
860	0.2114227709
861	0.2113608373
862	0.2113272061
863	0.2112881667
864	0.2111826975
865	0.2111030607
866	0.2110206117
867	0.2109871377
868	0.2109116871
869	0.2108372937
870	0.2108246546
871	0.2107596381
872	0.2107120856
873	0.2106394767
874	0.2105600045
875	0.2104812756
876	0.2104221443
877	0.210357325
878	0.21029606
879	0.2102522496
880	0.2101816015
881	0.2101044289
882	0.2100449212
883	0.2099938879
884	0.2099624686
885	0.2098849838
886	0.2098131631
887	0.2097307525
888	0.2096841795
889	0.209619355
890	0.2095574609
891	0.2095169384
892	0.2094734137
893	0.2094208503
894	0.2093759926
895	0.2093111342
896	0.2092432818
897	0.2092103799
898	0.2091678874
899	0.2091104664
900	0.20906148
901	0.2089923938
902	0.2089813985
903	0.2089577013
904	0.2088851389
905	0.208834016
906	0.2087409764
907	0.2086551394
908	0.2085985457
909	0.2085486695
910	0.2084697231
911	0.2083997344
912	0.208318463
913	0.2082739389
914	0.208206909
915	0.208133597
916	0.2080943282
917	0.2080566286
918	0.2080457801
919	0.2079927592
920	0.207981158
921	0.2079296173
922	0.2078814415
923	0.2078102208
924	0.2077116463
925	0.2076572024
926	0.2076229369
927	0.2075714349
928	0.2075056726
929	0.2074563712
930	0.2074162056
931	0.2074052188
932	0.2073524525
933	0.2072901512
934	0.2072414567
935	0.2072029556
936	0.207120741
937	0.2070690128
938	0.2069946247
939	0.2069310819
940	0.2068711803
941	0.2068388634
942	0.2067711582
943	0.2067007762
944	0.2066454386
945	0.2065894796
946	0.2065227607
947	0.2064772082
948	0.2064092916
949	0.2064007425
950	0.2063434714
951	0.206298024
952	0.2062413043
953	0.2061940466
954	0.2061493602
955	0.2061039455
956	0.2060308899
957	0.2059947743
958	0.2059007094
959	0.2058262697
960	0.2057940311
961	0.2057034565
962	0.2056275594
963	0.2055527518
964	0.2054869475
965	0.2054600716
966	0.2054044252
967	0.2053367053
968	0.2052986189
969	0.2052527272
970	0.2052109135
971	0.2051570157
972	0.2051187504
973	0.2050661339
974	0.2050382586
975	0.2049720206
976	0.2049112529
977	0.2048490548
978	0.204768669
979	0.2047235657
980	0.2046601198
981	0.2045966164
982	0.2045494024
983	0.2045091904
984	0.204446108
985	0.2043867991
986	0.2043440587
987	0.2043334229
988	0.2042735441
989	0.2041165954
990	0.20406342
991	0.2039943602
992	0.2039469455
993	0.2039387566
994	0.2038875002
995	0.2038437431
996	0.2037951934
997	0.2037579326
998	0.2037195784
999	0.2036553665
